kodea;izena;lurraldea;herria
10319;IES ZARAOBE BHI;Araba;Amurrio
10254;CPES APOSTÓLICO SAN JOSÉ BHIP;Araba;Iruña Oka/Iruña de Oca
10349;IES SAMANIEGO-LAGUARDIA BHI;Araba;Laguardia
10201;CIFP LAUDIOALDE LANBIDE ESKOLA LHII;Araba;Laudio/Llodio
10351;IES LAUDIO BHI;Araba;Laudio/Llodio
10046;IES ANITURRI BHI;Araba;Salvatierra/Agurain
10108;CIFP INSTITUTO AGRARIO ARKAUTE / ARKAUTE NEKAZARITZA INSTITUTUA LHII;Araba;Vitoria-Gasteiz
10133;IES FEDERICO BARAIBAR BHI;Araba;Vitoria-Gasteiz
10134;IES FRANCISCO DE VITORIA BHI;Araba;Vitoria-Gasteiz
10137;CIFP CIUDAD JARDÍN LHII;Araba;Vitoria-Gasteiz
10138;CIFP MENDIZABALA LHII;Araba;Vitoria-Gasteiz
10214;CPFPB BERMAR OLHIP;Araba;Vitoria-Gasteiz
10221;CPEIPS URKIDE HLBHIP;Araba;Vitoria-Gasteiz
10228;CPEIPS PRESENTACIÓN DE MARIA HLBHIP;Araba;Vitoria-Gasteiz
10229;CPEIPS CARMELITAS-SAGRADO CORAZÓN HLBHIP;Araba;Vitoria-Gasteiz
10244;CPEIPS PAULA MONTAL HLBHIP;Araba;Vitoria-Gasteiz
10248;CPIFP EGIBIDE LHIPI;Araba;Vitoria-Gasteiz
10256;CIFP HOSTELERÍA LHII;Araba;Vitoria-Gasteiz
10258;CEPA NTRA. SRA. DEL CARMEN HHI;Araba;Vitoria-Gasteiz
10291;CPFPB ADSIS VITORIA-GASTEIZ OLHIP;Araba;Vitoria-Gasteiz
10296;CIFP CONSTRUCCIÓN LHII;Araba;Vitoria-Gasteiz
13613;CIFP DE APRENDIZAJES VIRTUALES Y DIGITALIZADOS - IKASKUNTZA BIRTUAL ETA DIGITALIZATUEN LHII;Araba;Vitoria-Gasteiz
10745;CIFP MURGIA LHII;Araba;Zuia
14010;IES DOLORES IBARRURI BHI;Bizkaia;Abanto y Ciérvana-Abanto Zierbena
