id;cod;nombre
1;ADG;Administración y Gestión
2;AFD;Actividades Físicas y Deportivas
3;AGA;Agraria
4;ARG;Artes Gráficas
5;ART;Artes y Artesanías
6;COM;Comercio y Marketing
7;ELE;Electricidad y Electrónica
8;ENA;Energía y Agua
9;EOC;Edificación y Obra Civil
10;FME;Fabricación Mecánica
11;HOT;Hostelería y Turismo
12;IEX;Industrias Extractivas
13;IFC;Informática y Comunicaciones
14;IMA;Instalación y Mantenimiento
15;IMP;Imagen Personal
16;IMS;Imagen y Sonido
17;INA;Industrias Alimentarias
18;MAM;Madera, Mueble y Corcho
19;MAP;Marítimo Pesquera
20;QUI;Química
21;SAN;Sanidad
22;SEA;Seguridad y Medio Ambiente
23;SSC;Servicios Socioculturales y a la Comunidad
24;TCP;Textil, Confección y Piel
25;TMV;Transporte y Mantenimiento de Vehículos
26;VIC;Vidrio y Cerámica
